uid	name	regulation	correct.pred	incorrect.pred	score	total.reachable	significant.reachable	total.ambiguous	significant.ambiguous	unknow	quaternary.pval	ternary.pval	enrichment.pval	quaternary.qval	ternary.qval	enrichment.qval
2024	ZNF462	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2026	ASB6	up	0	0	0	10	0	0	0	7798	0.982661173378084	0.982661173378084	0.999999999996135	0.994333677334917	0.999634642999451	0.928721313574462
2026	ASB6	down	0	0	0	10	0	0	0	7798	0.901410094839176	0.901410094839176	0.999999999996135	0.993826081080816	0.999601723657385	0.928721313574462
2027	LCN2	up	0	0	0	14	0	3	0	7794	0.981823609382476	0.981135227325329	0.999999999997731	0.994328870979528	0.999634074972692	0.928721313574568
2027	LCN2	down	0	0	0	14	0	3	0	7794	0.896024843714505	0.892256140725166	0.999999999997731	0.99378920531014	0.999597639251271	0.928721313574568
2028	PAEP	up	0	0	0	6	0	4	0	7802	0.996384895610303	0.996199663794823	1	0.99441128634256	0.999639606461884	0.928721313574718
2028	PAEP	down	0	0	0	6	0	4	0	7802	0.980147378250001	0.979134607201659	1	0.994319227408462	0.999633327569285	0.928721313574718
2029	NOTCH1	up	5	2	3	220	8	74	1	7588	0.176018188489906	0.141683263467061	0.00588057178366731	0.969167121282996	0.99747150628606	0.264794649336649
2029	NOTCH1	down	2	5	-3	220	8	74	1	7588	0.923742080350079	0.954912243206637	0.00588057178366731	0.993974439688058	0.999624030030266	0.264794649336649
2030	NACC2	up	0	0	0	8	0	1	0	7800	0.987596541703745	0.987441354786149	1	0.994361834294495	0.999636411041406	0.928721313574718
2030	NACC2	down	0	0	0	8	0	1	0	7800	0.930376189398374	0.929527363854187	1	0.994017148287851	0.999613766463534	0.928721313574718
2031	USP6NL	up	0	0	0	9	0	1	0	7799	0.945854731777827	0.945189902179196	1	0.99411447907996	0.999620164225271	0.928721313574718
2031	USP6NL	down	0	0	0	9	0	1	0	7799	0.962112120825743	0.96164318654343	1	0.994213354789492	0.999626660619047	0.928721313574718
2033	HABP2	up	0	0	0	19	0	4	0	7789	0.976590953855014	0.975405787077726	1	0.994298657841875	0.999631926355241	0.928721313574718
2033	HABP2	down	0	0	0	19	0	4	0	7789	0.863504957737832	0.85701008063091	1	0.993556811767195	0.999581098383501	0.928721313574718
2035	ADM	up	0	0	0	11	0	4	0	7797	0.988046526277732	0.98743685859385	1	0.994364387604976	0.999636409386443	0.928721313574718
2035	ADM	down	0	0	0	11	0	4	0	7797	0.932837689185943	0.929501414125542	1	0.994032841169157	0.99961375568487	0.928721313574718
2037	LRRC4C	up	2	0	2	33	2	0	0	7775	0.0354573903922445	0.0354573903922445	0.0628838853108745	0.863609643792172	0.989972417200298	0.551133340399273
2037	LRRC4C	down	0	2	-2	33	2	0	0	7775	0.99668074549004	0.99668074549004	0.0628838853108745	0.994412936000694	0.99963978035536	0.551133340399273
2039	ZNF214	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
2039	ZNF214	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2040	ZNF215	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
2040	ZNF215	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2041	SLC1A2	up	1	0	1	7	1	2	0	7801	0.0742641722224698	0.0510543669935154	0.0838183533170309	0.929883212207741	0.993014418083038	0.569299912428744
2041	SLC1A2	down	0	1	-1	7	1	2	0	7801	0.998964110808793	0.998938150790009	0.0838183533170309	0.994425635350095	0.999640594088902	0.569299912428744
2042	SERPING1	up	0	0	0	6	0	0	0	7802	0.939178503424165	0.939178503424165	1	0.994072889342698	0.99961773394024	0.928721313574718
2042	SERPING1	down	0	0	0	6	0	0	0	7802	0.989113599601107	0.989113599601107	1	0.994370433177114	0.999637025519924	0.928721313574718
2046	PAK1	up	3	0	3	133	3	4	0	7675	0.126953858599574	0.117139968343219	0.228837701798967	0.957754426340491	0.996943352828046	0.748846384285425
2046	PAK1	down	0	3	-3	133	3	4	0	7675	0.967433298346426	0.966146764864514	0.228837701798967	0.994244999927042	0.999628400249514	0.748846384285425
2048	ATM	up	2	0	2	63	2	10	0	7745	0.133150161305807	0.0951219327191843	0.184157172955514	0.959641031204335	0.996238486879331	0.70583603897393
2048	ATM	down	0	2	-2	63	2	10	0	7745	0.985895305271452	0.984251962805697	0.184157172955514	0.99435216016418	0.999635233289409	0.70583603897393
2051	ZNF343	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
2051	ZNF343	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2052	MTA2	up	0	0	0	6	0	1	0	7802	0.990936532237207	0.990822929035505	1	0.99438073116696	0.999637651482574	0.928721313574718
2052	MTA2	down	0	0	0	6	0	1	0	7802	0.949573245062912	0.948951987495868	1	0.994137391564473	0.999621669500548	0.928721313574718
2056	MS4A2	up	0	0	0	26	0	0	0	7782	0.942040271657035	0.942040271657035	1	0.994090788561398	0.999618894761052	0.928721313574718
2056	MS4A2	down	0	0	0	26	0	0	0	7782	0.793615664014865	0.793615664014865	1	0.9929933718789	0.999547651449144	0.928721313574718
2059	TAGLN	up	0	0	0	6	0	2	0	7802	0.984640037771134	0.984252850903576	1	0.994345000737259	0.99963523361842	0.928721313574718
2059	TAGLN	down	0	0	0	6	0	2	0	7802	0.968194761945677	0.967398858951217	1	0.994249500078527	0.999628881028639	0.928721313574718
2060	MYL9	up	0	0	0	32	1	24	1	7776	0.315756083756818	0.98575791321767	0.330237600382917	0.982574442324382	0.999635790343532	0.811420763890394
2060	MYL9	down	0	0	0	32	1	24	1	7776	0.252167535907622	0.920737128508237	0.330237600382917	0.978275736748872	0.999610080547359	0.811420763890394
